=== MYM Strategy Log - Started 2026-01-26 06:32:39 ===

06:32:39.796 [06:33:00.000] DEBUG_RECONNECT: Checking Account.Positions. Strategy Position.Qty=0 MarketPosition=Flat
06:32:39.796 [06:33:00.000] DEBUG_RECONNECT: Total Account.Positions count = 0
06:32:39.796 [06:33:00.000] 26/1/26 6:33:00 a. m. v1.15.60 RESTART EVAL: Checking for pending orders or valid setup to continue...
06:34:42.837 [06:35:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:34:53.703 [06:35:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:35:03.785 [06:36:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:35:22.654 [06:36:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:35:22.654 [06:36:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:35:22.655 [06:36:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:35:22.655 [06:36:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:35:25.017 [06:36:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:35:28.118 [06:36:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:35:28.118 [06:36:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:35:45.191 [06:36:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:35:48.314 [06:36:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:35:48.315 [06:36:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:35:48.315 [06:36:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:35:51.974 [06:36:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:35:51.975 [06:36:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:35:55.532 [06:36:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:36:02.816 [06:37:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:36:11.260 [06:37:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:36:11.261 [06:37:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:36:11.262 [06:37:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:36:11.262 [06:37:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:36:11.262 [06:37:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:36:15.512 [06:37:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:36:21.475 [06:37:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:36:24.996 [06:37:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:36:32.162 [06:37:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:36:32.163 [06:37:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:36:40.198 [06:37:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:36:44.422 [06:37:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:36:45.317 [06:37:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:36:49.417 [06:37:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:36:54.784 [06:37:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:36:59.641 [06:37:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:37:05.104 [06:38:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:37:05.323 [06:38:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:37:07.184 [06:38:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:37:07.185 [06:38:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:37:07.185 [06:38:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:37:07.186 [06:38:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:37:07.948 [06:38:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:37:12.695 [06:38:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:37:16.528 [06:38:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:37:16.529 [06:38:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:37:16.753 [06:38:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:37:16.754 [06:38:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:37:16.754 [06:38:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:37:16.755 [06:38:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:37:21.414 [06:38:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:37:21.415 [06:38:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:37:21.416 [06:38:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:37:22.512 [06:38:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:37:29.752 [06:38:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:37:38.568 [06:38:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:37:39.745 [06:38:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:37:40.904 [06:38:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:37:44.763 [06:38:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:37:46.744 [06:38:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:37:55.480 [06:38:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:38:05.567 [06:39:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:38:13.047 [06:39:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:38:13.485 [06:39:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:38:20.547 [06:39:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:38:29.807 [06:39:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:38:30.651 [06:39:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:38:31.577 [06:39:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:38:35.520 [06:39:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:38:35.521 [06:39:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:39:00.043 [06:39:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:39:00.044 [06:39:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:39:34.369 [06:40:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:39:35.453 [06:40:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:39:41.577 [06:40:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:39:58.260 [06:40:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:39:58.261 [06:40:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:39:58.265 [06:40:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:39:58.266 [06:40:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:39:58.267 [06:40:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:40:11.054 [06:41:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:40:11.484 [06:41:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:40:11.485 [06:41:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:40:11.485 [06:41:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:40:15.201 [06:41:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:40:15.201 [06:41:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:40:15.202 [06:41:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:40:17.901 [06:41:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:40:36.883 [06:41:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:40:51.756 [06:41:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:41:19.056 [06:42:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
06:41:58.261 [06:42:00.000] DIAG_SCAN_IGNORE: Asia High JustReset=true (Expanded) but failed 'IsMitigated && MitigationTime==Now' check. IsMitigated=True Time=26/1/26 4:01:00 a. m.
